Features,coefficients,Target
Impulsive,0.931505,Meth
LSD,0.93469,Meth
Education_University Degree,0.947412,Meth
Age_55 - 64,0.952183,Meth
Education_Left School at 18 years,0.962569,Meth
Escore,0.966793,Meth
Country_Canada,0.97178,Meth
Coke,0.974325,Meth
Mushrooms,0.987346,Meth
Nscore,1.004182,Meth
Oscore,1.039131,Meth
VSA,1.045574,Meth
Education_Masters Degree,1.047344,Meth
Education_Left School Before 16 years,1.050652,Meth
Education_Left School at 16 years,1.057126,Meth
Gender_Male,1.078661,Meth
Amphet,1.100404,Meth
Nicotine,1.104063,Meth
Education_Professional Certificate/ Diploma,1.130008,Meth
Amyl,1.170473,Meth
Heroin,1.191945,Meth
Crack,1.207896,Meth
Age_25 - 34,1.221289,Meth
"Education_Some College,No Certificate Or Degree",1.244694,Meth
Country_Other,1.26759,Meth
SS,1.314086,Meth
Age_18 - 24,1.449143,Meth
Caff,1.543926,Meth
Country_USA,1.833204,Meth
Benzos,2.464653,Meth
Meth,0,Meth
Country_UK,0.417809,LSD
Age_55 - 64,0.52126,LSD
Education_Left School at 17 years,0.688664,LSD
Education_Doctorate Degree,0.693238,LSD
Age_45 - 54,0.704128,LSD
Impulsive,0.709697,LSD
Cscore,0.724457,LSD
Age_65+,0.734915,LSD
Amyl,0.762484,LSD
Amphet,0.777576,LSD
Age_35 - 44,0.826368,LSD
Semer,0.835423,LSD
Country_Republic of Ireland,0.836517,LSD
Country_New Zealand,0.838042,LSD
Education_University Degree,0.846731,LSD
Benzos,0.851526,LSD
Nicotine,0.893529,LSD
SS,0.895652,LSD
Gender_Female,0.905953,LSD
Meth,0.928289,LSD
Heroin,0.929519,LSD
Education_Left School at 18 years,0.935802,LSD
Escore,1.004461,LSD
Ascore,1.007379,LSD
Education_Left School at 16 years,1.071492,LSD
Coke,1.074089,LSD
Education_Masters Degree,1.086068,LSD
Country_Canada,1.089117,LSD
Education_Left School Before 16 years,1.091397,LSD
Gender_Male,1.103811,LSD
Crack,1.128862,LSD
Legalh,1.135978,LSD
Nscore,1.145726,LSD
Choc,1.155511,LSD
Education_Professional Certificate/ Diploma,1.160144,LSD
Age_25 - 34,1.169437,LSD
VSA,1.247573,LSD
Caff,1.262554,LSD
"Education_Some College,No Certificate Or Degree",1.279939,LSD
Alcohol,1.291949,LSD
Cannabis,1.312151,LSD
Ketamine,1.37694,LSD
Oscore,1.456145,LSD
Country_Other,1.476096,LSD
Country_Australia,1.555019,LSD
Country_USA,1.81213,LSD
Mushrooms,1.81601,LSD
Ecstasy,1.854633,LSD
Age_18 - 24,1.934483,LSD
LSD,0,LSD
Country_UK,0.656814,Benzos
LSD,0.742131,Benzos
Age_18 - 24,0.768591,Benzos
Education_Left School Before 16 years,0.814845,Benzos
Country_Republic of Ireland,0.830025,Benzos
SS,0.831024,Benzos
Education_University Degree,0.89692,Benzos
